country,year,cereal_yield,fdi_perc_gdp,gni_per_cap,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,pop_growth_perc,pop,urb_pop_growth_perc
LAC,1997,2712.93288293897,3.15294786910625,4021.89196516474,140.140715305069,1134.17106413685,1230476.518,2.50408821199481,314.522186415144,32.687887237622,13.9043030067387,2084674901362.97,1.61277033727475,491387049.428173,2.23206195294621
LAC,1998,2811.70581806094,3.53716816198066,3992.71392571898,141.589407046226,1150.47942401127,1280047.024,2.56455969041109,320.06326121293097,32.8372468801125,14.5238811972157,2084408155965.57,1.57560227291911,499129354.947793,2.19175687070343
LAC,1999,2822.14231846996,4.75798902349707,3761.33669224964,142.872506695647,1146.73075407346,1306420.088,2.57796532994145,325.770182384912,33.0055937002453,14.9476315315069,1851581310713.15,1.52959756799007,506764025.422199,2.14195415618769
LAC,2000,2864.06685568954,3.84302096753132,3817.10355372835,138.025381753326,1139.25409938088,1293515.915,2.515336700262,309.544134691157,33.0532258276772,16.1436954681215,2054022015046.62,1.47752625708463,514251596.959271,2.08458507212454
LIC,1991,1630.64753335725,0.254793702309208,281.664568933957,362.779713741619,375.302024778283,335600.293117305,0.647484683912054,839.6686917568729,8.50649578236904,9.52599591045348,145353810597.967,2.6108756933541,518313871.286705,3.99476692673157
LIC,1992,1562.32879451719,0.178943542301384,275.519171353314,369.798872035267,353.99777435808,343641.368282571,0.646449889189041,876.163059689919,8.62437290538957,9.62407052447671,138116415677.254,2.55993632286572,531582376.344224,3.95763066111405
LIC,1993,1599.0336711811,0.302789132158555,262.075498657902,364.262962404251,336.626147549408,348730.089317485,0.639954419610825,881.843775192268,8.71633892338052,9.82629354781067,131604888473.829,2.51084278613713,544929574.09304,3.89358418629031
LIC,1994,1532.04448776423,0.498997206363173,240.296115443437,360.268365240468,325.017581261199,342353.550233243,0.613028681854406,858.519350226665,8.81177261301586,9.85948668736449,121968668543.801,2.48343256891006,558462532.613689,3.82942983979902
LIC,1995,1509.62548478897,0.829991534343946,242.458439922822,361.256603871507,323.461968532181,346829.072507867,0.606057835214105,832.584828859137,8.90286656331792,9.86626984040726,139655040291.761,2.47251204511197,572270586.0,3.77160295105143
LIC,1996,1569.12860734248,0.83670595640352,255.687508175533,355.054543433421,316.650067856575,351782.827869746,0.600088494741683,804.614327883153,9.00226379237438,9.91247427393996,156105724309.738,2.43725003572844,586218251.061748,3.78993091127209
LIC,1997,1535.64855733858,1.30789689642024,267.691230857022,348.851924483357,312.669190540276,329805.365328848,0.549339433086992,724.370379279859,9.10666342889693,9.96069397684105,162782710492.225,2.41359376567351,600367178.222615,3.72483266422626
LIC,1998,1601.99749769758,1.75353202847954,267.096715634755,348.379039647865,311.360775540172,161532.143103057,0.262784441929646,342.34929657334703,9.21740340725133,9.98311333278872,166349955979.872,2.38642146245705,614694469.417267,3.67075680505215
LIC,1999,1711.39728251718,1.68081863081377,266.298039401081,342.641866741903,314.691829898052,172432.611471735,0.274070208347653,350.154094812441,9.32774372450316,10.0537205754036,165223166305.412,2.35245640855324,629154888.856096,3.62233693079266
LIC,2000,1735.08430527442,1.51026203663558,264.642058488786,345.033702891008,320.862515485281,179033.941,0.278128464380454,349.885165919733,9.48028094290645,10.0653318231093,164799150333.392,2.31336256011087,643709522.5,3.573428212986
LMC,1991,1934.43435979833,0.800132498687516,496.256278980763,341.707329361565,615.667428067918,2133997.3540996,1.19312592482963,660.652840531493,11.9891438157223,7.28862306462595,842407065317.943,2.07589150715368,1788576804.58525,3.24363931331007
LMC,1992,2038.55561225712,0.863491809022937,493.63670506478,328.112992309809,594.604938205504,2330010.52094174,1.27721907831291,705.356287434345,12.0761755761915,7.52536799467806,838803069092.612,1.99641108821531,1824284150.23324,3.16296736181162
LMC,1993,2126.2525660763,1.2571159057001,492.084520621608,322.220622034733,584.035894812199,2293583.16403491,1.23306008929971,682.095981559972,12.1645256491789,7.89119334738825,883574133689.847,1.96186392453231,1860074122.85763,3.10832343102592
LMC,1994,2084.4604824567,1.39468454212539,507.572170402236,310.447441857157,568.644709581085,2249929.08954816,1.18709543064725,651.8986992151889,12.2586289701606,7.9150455715249,956503698479.607,1.89501709929247,1895322845.54529,3.01525470457322
LMC,1995,2120.84768395254,1.49650742697703,553.837923626548,307.379364659342,580.394037627651,2321252.53241122,1.20240925451551,640.7768657495569,12.3722906984958,8.2269719478716,1067253833338.28,1.85606237108667,1930501219.69207,2.95896370674356
LMC,1996,2170.8106599383,1.67583486831586,600.647861174488,295.879433609399,579.750639050577,2424633.51819733,1.2333328166653,633.308817247327,12.447242635428,8.57494412649272,1166530715575.53,1.83468792034466,1965919892.37187,3.0101481105099
LMC,1997,2188.9993142296,1.68026251188104,617.715167007381,293.203718202384,582.483580409257,2447826.5813247,1.22296919265147,616.065479872176,12.5410501694759,8.90921234880763,1204069713450.25,1.81208053427578,2001543944.06099,2.97980118321586
LMC,1998,2203.31469526868,1.62446293976333,568.963499809011,289.717656730976,578.288390336805,2433867.5755438,1.19471834659743,598.869387900117,12.6409622409327,9.04979533134241,1080779207633.75,1.78089899171974,2037189419.9796,2.94721601185498
LMC,1999,2262.41097084696,1.19422774822429,567.636991632031,289.743503190276,596.191605325948,2559061.72023685,1.23453057564463,600.239651976773,12.7482808801045,9.18789466115695,1180124362473.76,1.75306452296616,2072902664.96688,2.91407004922914
LMC,2000,2272.64070248183,0.944043787157919,575.297624061115,282.307998364599,594.680568826815,2685574.87877607,1.273541385708,605.086343757841,12.8856103923055,9.31883309707231,1258729037432.26,1.72912132225949,2108745666.93651,2.87505260358543
LMY,1991,2447.16507276467,1.03687190438809,846.428628551075,330.081737947774,955.873507129594,9929307.62144372,2.271417268881,812.719410626241,13.5073941473288,9.05258350384298,3741934815324.36,1.8154576107362,4371415044.46487,3.06143758632984
LMY,1992,2349.04056525235,1.15553536690495,881.337726344429,321.659493397228,922.288980238157,10325599.9697127,2.32244668661517,838.2193216396549,13.6637785134804,9.22881975007571,3865135450958.55,1.70621678283047,4446000861.6007,2.93514677325308
LMY,1993,2395.83757720768,1.58580973057397,901.789792025818,314.675159018579,908.003102168831,10316726.5309594,2.28257641271,818.1926565278011,13.823306003801,9.42372977623861,4054687032984.83,1.65928504738626,4519772689.10391,2.87032551830538
LMY,1994,2347.75146350115,1.97278352948108,937.355827697453,303.49928795089,884.761838026094,10267189.5946147,2.23542522423447,793.9230112309999,13.9958822547798,9.60454315636028,4390109050531.58,1.61898227284436,4592947007.71336,2.80859930517012
LMY,1995,2381.10103505293,1.95086673954855,1004.10270062487,301.111169910811,896.273620787697,10597246.2159847,2.27116414372921,788.382872873681,14.1858672362842,9.74698541774424,4971360127494.95,1.590492810732,4665997499.67177,2.76157954071263
