country,year,co2_ttl,co2_per_cap,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
BIH,1997,12500.803,3.71426894809152,0.535779391286,3671816537.75935,11.7,1.797122633861,3365616.0,2.80360129547508,1411539.3504
BIH,1998,16226.475,4.66239833806714,0.535757190288,4116699576.17583,10.9,3.35031797204341,3480285.0,4.3467674979866,1474248.726
BIH,1999,18771.373,5.2121882981187,0.535757190288,4685729742.91939,10.1,3.42190231650473,3601438.0,4.40852060861013,1540695.1764
BIH,2000,23252.447,6.29516733636589,0.535757190288,5505984455.95855,9.6,2.52949140891833,3693698.0,3.50647056849886,1595677.536
BLR,1992,87487.286,8.56375156617071,6.70758664582,17022180272.211,17.0,0.215580667634297,10216000.0,0.786409931419387,6820201.6
BLR,1993,74451.101,7.27132542240453,6.86995339102,16280372553.0518,16.9,0.224883972052545,10239000.0,0.792473262069602,6874464.6
BLR,1994,65914.325,6.44512809230468,6.89014425926,14931599418.4226,16.9,-0.117267669480058,10227000.0,0.447118196700899,6905270.4
BLR,1995,62118.98,6.09368059642927,7.21402059751,13972637603.2102,16.8,-0.32319697020678,10194000.0,0.238021437092293,6921726.0
BLR,1996,60157.135,5.92097785433071,7.2680039989,14756861538.4615,16.5,-0.334086955668395,10160000.0,0.253286224457983,6939280.0
BLR,1997,59519.077,5.88307571414451,7.2679875243,14128412417.193,16.1,-0.424126465893162,10117000.0,0.159816772497667,6950379.0
BLR,1998,57597.569,5.72028692025027,7.26797102074,15222014828.3039,15.4,-0.475577999015538,10069000.0,0.1049751255045,6957679.0
BLR,1999,55819.074,5.56243886397608,7.26797099661,12138485328.6267,14.6,-0.338241447172441,10035000.0,0.238960711194587,6974325.0
BLR,2000,53468.527,5.34418060969515,7.26798857628,12736856485.1068,13.7,-0.299401402366337,10005000.0,0.274488245641334,6993495.0
BLZ,1991,359.366,1.85240206185567,16.0293326982,444720726.464896,42.0,2.61111423559059,194000.0,2.61111440036858,92150.0
BLZ,1992,355.699,1.78743216080402,16.0293044805,518143678.48592,39.9,2.54466640553171,199000.0,2.54466656611642,94525.0
BLZ,1993,377.701,1.84244390243902,16.0292762403,559759653.310068,38.0,2.97051525393308,205000.0,2.97051544139157,97375.0
BLZ,1994,374.034,1.77267298578199,17.1454576861,580760211.263176,36.2,2.88481525171556,211000.0,2.88481543376583,100225.0
BLZ,1995,377.701,1.74457736720554,17.592016936,620031771.857714,34.5,2.57324123425984,216500.0,2.5732413966478,102837.5
BLZ,1996,308.028,1.38751351351351,17.9739129251,641271333.36313,32.8,2.50868328465955,222000.0,2.63491952117204,105583.2
BLZ,1997,388.702,1.69000869565217,23.6249849772,654198121.105792,31.3,3.54019248168284,230000.0,3.66626962870516,109526.0
BLZ,1998,370.367,1.55290146750524,24.1512766319,688872472.724827,29.9,3.62899991150696,238500.0,3.75491831035781,113716.8
BLZ,1999,601.388,2.47382969971205,24.1512766319,732607993.768983,28.4,1.91035697881245,243100.0,2.03611691472715,116055.94
BLZ,2000,689.396,2.75979183346677,24.2676900991,832072464.652776,27.0,2.71877163693998,249800.0,2.84437349561259,119404.4
BOL,1991,5779.192,0.848155678579783,8.58362240762,5343259488.68929,116.7,2.30664303808592,6813834.0,3.6642916154802,3840276.8424
BOL,1992,6648.271,0.953270841769226,8.95352214692,5643864513.49805,112.9,2.32580801049334,6974168.0,3.66527111057829,3983644.7616
BOL,1993,8038.064,1.12606252216944,9.01008081875,5734703516.14626,109.2,2.32481666550932,7138204.0,3.64657503870475,4131592.4752
BOL,1994,8907.143,1.21944996255594,9.01008119034,5981218963.39922,105.3,2.29924282980235,7304230.0,3.60375841131364,4283200.472
BOL,1995,9424.19,1.26144888350505,14.036445632,6715164449.92696,101.1,2.25651877348937,7470925.0,3.54423565250969,4437729.45
BOL,1996,8734.794,1.14365361365095,14.0382129814,7396952017.81691,97.0,2.20674780570376,7637622.0,3.01158112398659,4573408.0536
BOL,1997,9842.228,1.26112353227367,17.686164727,7925733799.38014,93.1,2.15927940923766,7804333.0,2.95768684405971,4710695.3988
BOL,1998,10326.272,1.29544159833662,17.6871234952,8497499275.77644,89.2,2.11605955091772,7971237.0,2.90814290006212,4849700.5908
BOL,1999,9768.888,1.20028574229967,17.6871234952,8285061590.59504,85.6,2.08033069509447,8138802.0,2.86618935634659,4990713.3864
BOL,2000,9519.532,1.14593087867366,17.8632893966,8397858205.82571,82.2,2.04853920149633,8307248.0,2.82827024749949,5133879.264
BRA,1991,219330.604,1.44157142038667,10.9945413211,407337832905.405,57.1,1.65458052183399,152146887.0,2.4535195251819,114718752.798
BRA,1992,220705.729,1.42775731935799,11.3492896411,390566551483.761,54.7,1.58789501308395,154582103.0,2.38050154032602,117482398.28
BRA,1993,230738.641,1.46980558575786,11.4424983416,438299504406.263,52.7,1.54301420858074,156985824.0,2.32938785460218,120251141.184
BRA,1994,242154.012,1.51917316592036,12.4881495175,546233380259.659,50.3,1.52522116130855,159398558.0,2.30545918972704,123055686.776
BRA,1995,275564.049,1.70260845470707,12.9007330158,768951180305.3,48.1,1.52509042226595,161848162.0,2.29928783762747,125917870.036
BRA,1996,301244.05,1.8330255777257,13.645060805,839683246760.432,45.5,1.52941866746484,164342524.0,2.39965707474102,128976012.8352
BRA,1997,321199.864,1.9248604631384,14.6775657289,871199987487.699,42.7,1.52572694407878,166869168.0,2.3884574918045,132093633.3888
BRA,1998,314012.544,1.85356871479972,15.9895383548,843826501464.433,40.2,1.51100380073501,169409713.0,2.36635492761937,135256714.8592
BRA,1999,322068.943,1.87318790344127,16.8225121886,586863191444.692,37.8,1.48037724764946,171936271.0,2.32847412448768,138443085.4092
BRA,2000,330125.342,1.8926450310814,18.7140099283,644701831101.394,35.7,1.43731778284406,174425387.0,2.2782824224482,141633414.244
BRB,1991,1206.443,4.63390960664641,0.0876367788759,1687167462.46629,17.3,0.327016442175769,260351.0,1.42191789114282,86072.0406
BRB,1992,979.089,3.74934516880093,0.0875877882639,1588499968.0,16.8,0.301062382351693,261136.0,1.38410545978864,87271.6512
BRB,1993,1114.768,4.25670809706551,0.08753869159,1641226964.27888,16.8,0.286413169650714,261885.0,1.35785199089136,88464.753
BRB,1994,748.068,2.84829631773132,0.0874894899804,1726942730.47232,16.6,0.286737454381329,262637.0,1.34681805304538,89664.2718
BRB,1995,828.742,3.14613387189844,0.0874401850113,1859145793.4175,16.5,0.296168093108479,263416.0,1.34512876021043,90878.52
BRB,1996,850.744,3.21962480651839,0.0873907642975,1982896516.45074,16.5,0.311189612317146,264237.0,1.34926121777323,92113.0182
BRB,1997,902.082,3.40295298165138,0.0873412476553,2192363132.95828,16.7,0.321541863014749,265088.0,1.34894816063326,93363.9936
BRB,1998,1140.437,4.28830830898583,0.0872916226995,2364540276.6091,16.8,0.32126333350978,265941.0,1.33822125047271,94621.8078
BRB,1999,1210.11,4.53635879711199,0.0872916226995,2468403492.92018,17.0,0.306740069191944,266758.0,1.31345998096433,95872.8252
BRB,2000,1188.108,4.44134259899593,0.0872916226995,2558850048.0,17.1,0.281880662584142,267511.0,1.27856665412332,97106.493
BRN,1991,5815.862,22.4241566643661,42.8506859773,3701667052.55846,11.8,2.82804947121014,259357.0,3.67551217030737,172109.3052
BRN,1992,5808.528,21.7715840686072,42.851533097,4183548189.07305,11.4,2.82713340464933,266794.0,3.66747448428728,178538.5448
BRN,1993,5588.508,20.3684354396055,42.8523789922,4105706151.75145,11.0,2.80043801024972,274371.0,3.63377616616418,185145.5508
BRN,1994,5408.825,19.1802304964539,42.8532234783,4087337959.93191,10.7,2.74258658026459,282000.0,3.56903756525391,191872.8
BRN,1995,5515.168,19.0431678026615,42.8540665387,4734020036.68689,10.4,2.66419309464211,289614.0,3.48386981505997,198675.204
BRN,1996,5595.842,18.8292999717351,42.85490819,5115602836.87943,10.2,2.58159332932967,297188.0,3.30781293350811,205356.908
BRN,1997,5812.195,19.0735119418757,42.8557484658,5197332974.13793,9.9,2.50480770060712,304726.0,3.22579135728208,212089.296
BRN,1998,5984.544,19.167960642632,42.8565873325,4051147227.53346,9.7,2.42822437834652,312216.0,3.14404704836356,218863.416
BRN,1999,4598.418,14.3856106915602,42.8565873325,4600000000.0,9.5,2.35439048539177,319654.0,3.06512553125697,225675.724
